,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-0.5839209496943958,,Intercept,369.1652554361092,369.0,-0.16525543610919158,369.0
1,1,grade:A,0.46530213656890684,2.2581828670797758e-07,grade,35.3537065849283,35.0,-0.35370658492829676,35.0
2,2,grade:B,0.6694885475207794,1.725875855496456e-30,grade,50.867812139337374,51.0,0.13218786066262567,51.0
3,3,grade:C,0.6047914534969313,1.8490472928632476e-28,grade,45.95211994870434,46.0,0.047880051295656756,46.0
4,4,grade:D,0.5144160240896003,9.624893586907496e-23,grade,39.08538506260627,39.0,-0.08538506260627088,39.0
5,5,grade:E,0.35752746734812985,2.3463427780997218e-14,grade,27.164975578844054,27.0,-0.16497557884405367,27.0
6,6,grade:F,0.14557305639784396,0.0027516312236039817,grade,11.060656545681773,11.0,-0.060656545681773366,11.0
7,7,home_ownership:OWN,0.13233005480501273,4.1569609454509e-11,home_ownership,10.054451854534047,10.0,-0.05445185453404733,10.0
8,8,home_ownership:MORTGAGE,0.12378451764914315,6.058847771601066e-23,home_ownership,9.405161018590348,9.0,-0.4051610185903485,9.0
9,9,addr_state:NM_VA,0.010937166547382405,0.7319131730595521,addr_state,0.8310070953851911,1.0,0.16899290461480887,1.0
10,10,addr_state:NY,0.03492235487877086,0.14805698182009663,addr_state,2.6534042949875136,3.0,0.3465957050124864,3.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.05171290966252785,0.02516424891901867,addr_state,3.92915246068544,4.0,0.07084753931455978,4.0
12,12,addr_state:CA,0.03600050982182598,0.08890273479416783,addr_state,2.7353226239918254,3.0,0.26467737600817465,3.0
13,13,addr_state:UT_KY_AZ_NJ,0.05889774734613386,0.017705062046132668,addr_state,4.475057203783317,4.0,-0.47505720378331695,4.0
14,14,addr_state:AR_MI_PA_OH_MN,0.1276084023745632,1.3741329499098278e-08,addr_state,9.695700192972732,10.0,0.30429980702726844,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.09154568561754249,0.0020703101855275613,addr_state,6.9556510793270245,7.0,0.04434892067297547,7.0
16,16,addr_state:GA_WA_OR,0.16745303499261494,3.151921980225875e-10,addr_state,12.723099682152288,13.0,0.2769003178477121,13.0
17,17,addr_state:WI_MT,0.25187970237883606,1.2032733268856868e-07,addr_state,19.137846987473928,19.0,-0.1378469874739281,19.0
18,18,addr_state:TX,0.21892310445958021,3.358768591281978e-17,addr_state,16.633801118554338,17.0,0.36619888144566204,17.0
19,19,addr_state:IL_CT,0.2505897706164101,7.835835676769254e-18,addr_state,19.03983783286384,19.0,-0.039837832863838685,19.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.31911989636670623,3.402606274969794e-25,addr_state,24.246764188005162,24.0,-0.2467641880051623,24.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.50304490994518,2.719676791771007e-21,addr_state,38.22140658193573,38.0,-0.2214065819357316,38.0
22,22,verification_status:Not Verified,0.10489983825156209,2.6501703334957965e-13,verification_status,7.970301038587548,8.0,0.029698961412451652,8.0
23,23,verification_status:Source Verified,0.09151456825395246,2.6997203807042314e-12,verification_status,6.95328677868106,7.0,0.046713221318939624,7.0
24,24,purpose:credit_card,0.4055461253281884,2.985289730555032e-47,purpose,30.813438397749703,31.0,0.18656160225029694,31.0
25,25,purpose:debt_consolidation,0.29729738229423,1.3192025751067176e-30,purpose,22.58868721214425,23.0,0.4113127878557492,23.0
26,26,purpose:oth__med__vacation,0.2783413176646859,2.939006085858025e-19,purpose,21.148403374507943,21.0,-0.14840337450794294,21.0
